"Total, % of GDP, 2021",,,"General public services, % of GDP, 2021",,,"Defence, % of GDP, 2021",,,"Public order and safety, % of GDP, 2021",,,"Economic affairs, % of GDP, 2021",,,"Environmental protection, % of GDP, 2021",,,"Housing and community amenities, % of GDP, 2021",,,"Health, % of GDP, 2021",,,"Recreation, culture and religion, % of GDP, 2021",,,"Education, % of GDP, 2021",,,"Social protection, % of GDP, 2021",,,,,,General public services,Education,Health,Social protection,Public order and safety,Housing and community amenities,Economic affairs,Environmental protection,"Recreation, culture and religion",Defence
United Kingdom,48.1130031,,United States,5.53993456,,Sweden,1.297188511,,Slovenia,1.748071176,,Australia,5.868539671,,Iceland,0.727292805,,Luxembourg,0.60806353,,Finland,7.730268407,,Lithuania,1.187256499,,France,5.238122263,,Slovenia,17.85524242,,,,Italy,7.92594375,4.024551889,7.434598672,22.85824662,1.84849791,0.51347591,6.407229808,0.931108251,0.811081549,1.360555043
Portugal,47.4591192,,Slovenia,5.180803459,,Netherlands,1.27867749,,Belgium,1.734846719,,Norway,5.854326839,,United Kingdom,0.725544081,,Portugal,0.598236891,,Portugal,7.565298417,,Belgium,1.183628597,,Czechia,5.053025046,,Poland,17.28740791,,,,Japan,3.765649707,3.459103756,9.196105496,17.9318915,1.233683177,0.633715176,5.630790967,1.154102457,0.450016955,1.00837436
Czechia,46.5136951,,Luxembourg,4.690961384,,Finland,1.195624422,,France,1.707992988,,Korea,5.818435116,,Hungary,0.713233484,,Ireland,0.565697116,,Italy,7.434598672,,Poland,1.169245111,,Netherlands,5.05187879,,Netherlands,16.36229349,,,,Korea,4.302699959,5.401907558,5.730472356,9.009000824,1.376998397,1.219080775,5.818435116,1.142049665,1.066023267,2.680138458
Netherlands,45.83953126,,United Kingdom,4.68131794,,Denmark,1.194265054,,Germany,1.666809493,,Netherlands,5.783683882,,Slovenia,0.659158663,,Slovenia,0.540869714,,Sweden,7.307204262,,Spain,1.166826203,,Hungary,5.006815893,,United Kingdom,16.01074219,,,,Latvia,3.773614151,5.618260955,6.312855922,13.90845159,2.200070485,1.001261463,7.241221497,0.564395893,1.453869667,2.34781135
Slovak Rep.,45.53991487,,Israel,4.648150306,,Slovenia,1.183138154,,Iceland,1.649511201,,United Kingdom,5.760264859,,Germany,0.573332043,,Italy,0.51347591,,Spain,7.250734277,,Luxembourg,1.165920361,,Austria,4.96019632,,Chile,15.97879379,,,,Lithuania,3.058123016,4.748778112,5.850479336,14.25704645,1.274989609,0.614485889,3.952611206,0.531976042,1.187256499,1.825733985
United States,44.93264154,,Czechia,4.6347048,,Hungary,1.107331869,,Switzerland,1.646414943,,Japan,5.630790967,,Latvia,0.564395893,,Spain,0.482127809,,Slovak Rep.,6.898140007,,Germany,1.103650361,,Norway,4.958210855,,Slovak Rep.,15.92491664,,,,Luxembourg,4.690961384,4.700234353,5.417058338,18.28253561,1.207752368,0.60806353,5.417168895,0.922473835,1.165920361,0.437252957
Japan,44.46345175,,Korea,4.302699959,,Germany,1.104617894,,Chile,1.621041173,,Portugal,5.477085971,,Poland,0.559394931,,Poland,0.464765352,,Greece,6.672162587,,Greece,1.101375145,,Poland,4.924277791,,Lithuania,14.25704645,,,,Netherlands,3.839248691,5.05187879,8.547566182,16.36229349,1.922495971,0.438669541,5.783683882,1.371258702,1.243758522,1.27867749
Latvia,44.42181298,,Switzerland,4.265272509,,Japan,1.00837436,,Israel,1.481385194,,Luxembourg,5.417168895,,Switzerland,0.558915785,,Estonia,0.461123877,,Estonia,6.491988151,,Switzerland,1.076139469,,Lithuania,4.748778112,,Switzerland,14.13477289,,,,Norway,4.158542319,4.958210855,8.589307677,18.59339162,1.078349899,0.719841771,5.854326839,0.925867006,1.691961763,1.723208647
Poland,44.08771779,,Norway,4.158542319,,Czechia,0.96467065,,Austria,1.405488116,,United States,5.086732317,,Estonia,0.554620718,,Slovak Rep.,0.45859727,,Latvia,6.312855922,,Korea,1.066023267,,Luxembourg,4.700234353,,Latvia,13.90845159,,,,Poland,4.140558932,4.924277791,5.754519246,17.28740791,2.168686453,0.464765352,6.043215488,0.559394931,1.169245111,1.575646201
Luxembourg,42.84940782,,Poland,4.140558932,,Spain,0.958692291,,Korea,1.376998397,,Finland,5.058564453,,Sweden,0.542872234,,Germany,0.450925376,,Lithuania,5.850479336,,Slovak Rep.,1.024839271,,Portugal,4.607800109,,Czechia,13.63649683,,,,Portugal,6.712689002,4.607800109,7.565298417,18.1468677,1.791253191,0.598236891,5.477085971,0.796368639,0.962966489,0.80056205
Estonia,41.47125535,,Netherlands,3.839248691,,Belgium,0.876558484,,Sweden,1.33287573,,Sweden,4.83507146,,Israel,0.533004301,,Netherlands,0.438669541,,Israel,5.803933239,,Portugal,0.962966489,,Spain,4.55186576,,Estonia,13.47753786,,,,Slovak Rep.,5.834809168,4.259068667,6.898140007,15.92491664,2.226586152,0.45859727,6.679179934,0.926979519,1.024839271,1.306818191
Australia,41.05521937,,Estonia,3.836550654,,Portugal,0.80056205,,Lithuania,1.274989609,,Estonia,4.825899882,,Lithuania,0.531976042,,Finland,0.402530878,,Chile,5.760554832,,Australia,0.912686796,,Germany,4.511299396,,Iceland,13.23960918,,,,Slovenia,5.180803459,5.661916595,8.129323833,17.85524242,1.748071176,0.540869714,6.836963509,0.659158663,1.431116473,1.183138154
Israel,40.6532639,,Latvia,3.773614151,,Switzerland,0.793605554,,Japan,1.233683177,,Switzerland,4.822189183,,Austria,0.432189286,,Belgium,0.356427347,,Poland,5.754519246,,Italy,0.811081549,,Slovak Rep.,4.259068667,,Hungary,13.10305851,,,,Spain,5.809586923,4.55186576,7.250734277,20.3285636,2.014333751,0.482127809,6.416644168,0.997635586,1.166826203,0.958692291
Korea,37.74680637,,Australia,3.772510191,,Chile,0.76358791,,Luxembourg,1.207752368,,Israel,4.812002778,,Denmark,0.362619661,,Austria,0.301259926,,Korea,5.730472356,,United Kingdom,0.615215148,,Greece,4.08594201,,United States,12.1277085,,,,Sweden,6.63937208,6.648084282,7.307204262,18.48169654,1.33287573,0.65089989,4.83507146,0.542872234,1.35853845,1.297188511
Lithuania,37.30146244,,Japan,3.765649707,,Austria,0.596249515,,Finland,1.160118725,,Denmark,3.998853096,,Ireland,0.341753839,,Greece,0.260054562,,Hungary,5.627507995,,Ireland,0.450197242,,Chile,4.037878236,,Israel,11.22653952,,,,Switzerland,4.265272509,5.6095122,2.780454653,14.13477289,1.646414943,0.207144811,4.822189183,0.558915785,1.076139469,0.793605554
Switzerland,35.89442065,,Lithuania,3.058123016,,Luxembourg,0.437252957,,Norway,1.078349899,,Lithuania,3.952611206,,Finland,0.2309865,,Switzerland,0.207144811,,Luxembourg,5.417058338,,Japan,0.450016955,,Italy,4.024551889,,Australia,10.64811263,,,,United Kingdom,4.68131794,5.404278924,9.865114123,16.01074219,2.069455566,0.829174473,5.760264859,0.725544081,0.615215148,2.151895797
Chile,34.1377968,,Chile,2.386224092,,Ireland,0.203547937,,Denmark,0.93616956,,Ireland,3.069843109,,Chile,0.154802316,,Denmark,0.111150042,,Ireland,5.168621061,,Chile,0.275309807,,Japan,3.459103756,,Korea,9.009000824,,,,United States,5.53993456,5.623093525,10.29175163,12.1277085,1.972856925,0.765589105,5.086732317,0,0.268190276,3.256784697
Ireland,24.37724638,,Ireland,2.255923207,,Iceland,0.082871665,,Ireland,0.818020625,,Chile,2.329655444,,United States,0,,Israel,-0.793574437,,Switzerland,2.780454653,,United States,0.268190276,,Ireland,2.931040528,,Ireland,8.572604024,,,,,,,,,,,,,,
